"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-16","9.84","0.00","0.0","0.0",,"40","30","  280","  280","19.9","42.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-17","7.61","0.00","0.0","0.0",,"48","27","  280","  280","17.0","27.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-18","6.26","0.00","0.0","0.0",,"43","28","  310","  310","16.1","25.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-19","5.82","0.00","0.0","0.0",,"47","33","   50","   20","13.0","18.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-20","8.95","0.00","0.0","0.0",,"39","30","   70","   60","16.1","23.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-21","10.74","0.99","8.2","0.0",,"39","31","   50","   60","21.9","33.1","    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-22","6.71","0.06","0.2","7.9",,"50","32","  310","  320","14.1","23.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-23","5.59","0.00","0.0","1.2",,"49","35","   20","  350","14.1","21.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-24","6.04","0.00","0.0","0.0",,"51","35","   40","   10","12.1","19.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-25","8.28","0.00","0.0","0.0",,"45","33","   70","   50","19.9","29.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-26","5.82","0.00","0.0","0.0",,"50","34","   50","   60","21.0","28.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-27","3.36","0.01","0.0","0.0",,"47","34","   50","   60","10.1","14.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-28","4.03","0.03","0.0","0.0",,"52","38","  240","  250","12.1","17.0","    1",,,,
